simulation time,actual_yL
0.008333,0.120000
0.016666,0.120000
0.024999,0.120000
0.033332,0.120000
0.041665,0.120000
0.049998,0.120000
0.058331,0.120000
0.066664,0.120000
0.074997,0.120000
0.083330,0.120000
0.091663,0.120000
0.099996,0.120000
0.108329,0.120000
0.116662,0.120000
0.124995,0.120000
0.133328,0.120000
0.141661,0.120000
0.149994,0.120000
0.158327,0.120000
0.166660,0.120000
0.174993,0.120000
0.183326,0.120000
0.191659,0.120000
0.199992,0.120000
0.208325,0.120000
0.216658,0.120000
0.224991,0.120000
0.233324,0.120000
0.241657,0.120000
0.249990,0.120000
0.258323,0.120000
0.266656,0.120000
0.274989,0.120000
0.283322,0.120000
0.291655,0.120000
0.299988,0.120000
0.308321,0.120000
0.316654,0.120000
0.324987,0.120000
0.333320,0.120000
0.341653,0.120000
0.349986,0.120000
0.358319,0.120000
0.366652,0.120000
0.374985,0.120000
0.383318,0.120000
0.391651,0.120000
0.399984,0.120000
0.408317,0.120000
0.416650,0.120000
0.424983,0.120000
0.433316,0.120000
0.441649,0.120000
0.449982,0.120000
0.458315,0.120000
0.466648,0.120000
0.474981,0.120000
0.483314,0.120000
0.491647,0.120000
0.499980,0.120000
0.508313,0.120000
0.516646,0.120000
0.524979,0.120000
0.533312,0.120000
0.541645,0.120000
0.549978,0.120000
0.558311,0.120000
0.566644,0.120000
0.574977,0.120000
0.583310,0.120000
0.591643,0.120000
0.599976,0.120000
0.608309,0.120000
0.616642,0.120000
0.624975,0.120000
0.633308,0.120000
0.641641,0.120000
0.649974,0.120000
0.658307,0.120000
0.666640,0.120000
0.674973,0.120000
0.683306,0.120000
0.691639,0.120000
0.699972,0.120000
0.708305,0.120000
0.716638,0.120000
0.724971,0.120000
0.733304,0.120000
0.741637,0.120000
0.749970,0.120000
0.758303,0.120000
0.766636,0.120000
0.774969,0.120000
0.783302,0.120000
0.791635,0.120000
0.799968,0.120000
0.808301,0.120000
0.816634,0.120000
0.824967,0.120000
0.833300,0.120000
0.841633,0.120000
0.849966,0.120000
0.858299,0.120000
0.866632,0.120000
0.874965,0.120000
0.883298,0.120000
0.891631,0.120000
0.899964,0.120000
0.908297,0.120000
0.916630,0.120000
0.924963,0.120000
0.933296,0.120000
0.941629,0.120000
0.949962,0.120000
0.958295,0.120000
0.966628,0.120000
0.974961,0.120000
0.983294,0.120000
0.991627,0.120000
0.999960,0.120000
1.008293,0.120000
1.016626,0.120000
1.024959,0.120000
1.033292,0.120000
1.041625,0.120000
1.049958,0.120000
1.058291,0.120000
1.066624,0.120000
1.074957,0.120000
1.083290,0.120000
1.091623,0.120000
1.099956,0.120000
1.108289,0.120000
1.116622,0.120000
1.124955,0.120000
1.133288,0.120000
1.141621,0.120000
1.149954,0.120000
1.158287,0.120000
1.166620,0.120000
1.174953,0.120000
1.183286,0.120000
1.191619,0.120000
1.199952,0.120000
1.208285,0.120000
1.216618,0.120000
1.224951,0.120000
1.233284,0.120000
1.241617,0.120000
1.249950,0.120000
1.258283,0.120000
1.266616,0.120000
1.274949,0.120000
1.283282,0.120000
1.291615,0.120000
1.299948,0.120000
1.308281,0.120000
1.316614,0.120000
1.324947,0.120000
1.333280,0.120000
1.341613,0.120000
1.349946,0.120000
1.358279,0.120000
1.366612,0.120000
1.374945,0.120000
1.383278,0.120000
1.391611,0.120000
1.399944,0.120000
1.408277,0.120000
1.416610,0.120000
1.424943,0.120000
1.433276,0.120000
1.441609,0.120000
1.449942,0.120000
1.458275,0.120000
1.466608,0.120000
1.474941,0.120000
1.483274,0.120000
1.491607,0.120000
1.499940,0.120000
1.508273,0.120000
1.516606,0.120000
1.524939,0.120000
1.533272,0.120000
1.541605,0.120000
1.549938,0.120000
1.558271,0.120000
1.566604,0.120000
1.574937,0.120000
1.583270,0.120000
1.591603,0.120000
1.599936,0.120000
1.608269,0.120000
1.616602,0.120000
1.624935,0.120000
1.633268,0.120000
1.641601,0.120000
1.649934,0.120000
1.658267,0.120000
1.666600,0.120000
1.674933,0.120000
1.683266,0.120000
1.691599,0.120000
1.699932,0.120000
1.708265,0.120000
1.716598,0.120000
1.724931,0.120000
1.733264,0.120000
1.741597,0.120000
1.749930,0.120000
1.758263,0.120000
1.766596,0.120000
1.774929,0.120000
1.783262,0.120000
1.791595,0.120000
1.799928,0.120000
1.808261,0.120000
1.816594,0.120000
1.824927,0.120000
1.833260,0.120000
1.841593,0.120000
1.849926,0.120000
1.858259,0.120000
1.866592,0.120000
1.874925,0.120000
1.883258,0.120000
1.891591,0.120000
1.899924,0.120000
1.908257,0.120000
1.916590,0.120000
1.924923,0.120000
1.933256,0.120000
1.941589,0.120000
1.949922,0.120000
1.958255,0.120000
1.966588,0.120000
1.974921,0.120000
1.983254,0.120000
1.991587,0.120000
1.999920,0.120000
2.008253,0.120000
2.016586,0.120000
2.024919,0.120000
2.033252,0.120000
2.041585,0.120000
2.049918,0.120000
2.058251,0.120000
2.066584,0.120000
2.074917,0.120000
2.083250,0.120000
